,Start Date,End Date,Product,New Price,Savings
1,Nov. 8,"21, 2021",FoodSaver food preservation system,$119.99 ,$40 
2,Nov. 8,"21, 2021",Singsation Performer Deluxe all-in-one karaoke system,$99.99 ,$30 
3,Nov. 8,"21, 2021",14kt two-tone gold ornamental twist dangle earrings,$169.99 ,$50 
4,Nov. 8,"21, 2021",Salton glass kettle,$34.99 ,$10 
5,Nov. 8,"21, 2021",Comfort Grande foam pillow,$27.99 ,$7 
6,Nov. 8,"21, 2021",Nautica ladies' 2 piece fleece pyjama set,$16.99 ,$6 
7,Nov. 8,"21, 2021","Elizabeth Arden Millenium day, night and eye creams",$34.99 ,$10 
8,Nov. 8,"21, 2021",Charmin Blue Ultra Soft bathroom tissue,$19.99 ,$5 
9,Nov. 8,"21, 2021",Gillette Fusion ProGlide Power,$49.99 ,$14 
10,Nov. 8,"21, 2021",Bio-Oil skin care treatment,$19.99 ,$8 
11,Nov. 8,"21, 2021",Little Hotties toe warmers,$13.99 ,$4 
12,Nov. 8,"21, 2021",Jach's men's fleece crewneck sweater,$11.99 ,$4 
13,Nov. 8,"21, 2021",Scotties Premium 2-ply facial tissues,$17.99 ,$5 
14,Nov. 8,"21, 2021",Tide Pods with Downy laundry detergent,$20.99 ,$5 
15,Nov. 8,"21, 2021",Tide HE liquid laundry detergent,$18.99 ,$5 
16,Nov. 8,"21, 2021",Tipiak French macarons,$14.49 ,$5 
17,Nov. 8,"21, 2021",Lindt Lindor assorted chocolates,$17.49 ,$4.50 
18,Nov. 8,"21, 2021",Kirkland Signature shredded pizza mozzarella cheese,$12.99 ,$4 
19,Nov. 8,"21, 2021",Cuisine Adventures French onion soup,$9.49 ,$3 
20,Nov. 8,"21, 2021",Erie Meats chicken breast bites,$11.99 ,$3 
21,Nov. 8,"21, 2021",Carr's crackers variety pack,$4.99 ,$2 
22,Nov. 8,"21, 2021",Webber Naturals triple strength Omega-3,$23.99 ,$6 
23,Nov. 8,"21, 2021","Kirkland Signature glucosamine, chondroitin and MSM",$23.99 ,$6 
24,Nov. 8,"21, 2021",Jamieson probiotic,$23.99 ,$8 
25,Nov. 8,"21, 2021",Jamieson B100 complex timed-release vitamins,$20.99 ,$6 
26,Nov. 8,"21, 2021","Nature's Bounty hair, skin and nails supplement",$11.99 ,$3 
27,Nov. 8,"21, 2021",on purchase of a pair of Transitions lenses and a pair of prescription polarized lenses when purchased with frames.,,$100 